GEOID10,INTPTLAT10,INTPTLON10,SECTION
42101009802,+39.9745879,-075.2679037,SouthWest
42101018001,+39.9810569,-075.1128000,FrankfordKennsington
42101017702,+39.9950621,-075.1231399,FrankfordKennsington
42101017701,+39.9964470,-075.1167526,FrankfordKennsington
42101035602,+40.1079419,-075.0480601,NorthEast
42101035701,+40.1095846,-075.0286811,NorthEast
42101035702,+40.1130914,-075.0374316,NorthEast
42101035601,+40.0973908,-075.0388184,NorthEast
42101015101,+39.9869632,-075.1857502,CenterCity
42101015102,+39.9861430,-075.1794280,CenterCity
42101036501,+40.1290877,-075.0120077,NorthEast
42101980400,+39.8798897,-075.2337414,SouthWest
42101013402,+39.9653623,-075.1690326,CenterCity
42101013401,+39.9659574,-075.1752507,CenterCity
42101013601,+39.9689697,-075.1785774,CenterCity
42101037900,+39.9910899,-075.0927158,FrankfordKennsington
42101038200,+39.9963741,-075.0973643,FrankfordKennsington
42101038000,+40.0052279,-075.0807845,NorthEast
42101038100,+40.0189334,-075.0399564,NorthEast
42101038400,+40.0714163,-075.2332568,NorthWest
42101000100,+39.9523827,-075.1466628,CenterCity
42101000200,+39.9553999,-075.1569775,CenterCity
42101000300,+39.9568780,-075.1716655,CenterCity
42101000500,+39.9519534,-075.1581776,CenterCity
42101000600,+39.9493845,-075.1583354,CenterCity
42101000700,+39.9510463,-075.1729143,CenterCity
42101003200,+39.9333011,-075.1854187,SouthPhilly
42101003300,+39.9384405,-075.1958253,SouthPhilly
42101003600,+39.9279255,-075.1920206,SouthPhilly
42101003701,+39.9276728,-075.1806654,SouthPhilly
42101003702,+39.9245283,-075.1824354,SouthPhilly
42101004101,+39.9229611,-075.1589741,SouthPhilly
42101004002,+39.9188943,-075.1674160,SouthPhilly
42101003902,+39.9167178,-075.1744119,SouthPhilly
42101004001,+39.9238035,-075.1662102,SouthPhilly
42101004102,+39.9179425,-075.1600629,SouthPhilly
42101004202,+39.9168570,-075.1516284,SouthPhilly
42101004201,+39.9219554,-075.1512640,SouthPhilly
42101007900,+39.9504630,-075.2182570,SouthWest
42101008000,+39.9506613,-075.2268423,SouthWest
42101008200,+39.9491574,-075.2444494,SouthWest
