GEOID,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD06,HD01_VD07,HD01_VD10,HD01_VD11,HD01_VD14,HD01_VD15,HD01_VD18,HD01_VD19,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD28,HD01_VD29,HD01_VD32,HD01_VD33,HD01_VD36,HD01_VD37,HD01_VD40,HD01_VD41,HD01_VD44,HD01_VD45,HD01_VD46
42101026700,2527,1806,453,325,255,108,346,75,328,0,424,0,0,721,298,298,229,184,21,21,28,0,0,0,0,145
42101026800,1939,684,78,78,72,27,89,73,129,30,316,39,0,1255,524,510,274,263,236,76,102,0,79,0,24,16
42101026900,674,436,47,47,31,31,33,18,75,24,250,32,0,238,128,115,18,18,36,11,21,9,12,0,10,13
42101027000,878,519,46,42,63,40,15,6,102,27,293,56,0,359,95,95,111,79,49,0,28,0,47,0,23,6
42101027100,937,701,115,77,90,46,154,79,155,60,187,0,0,236,69,69,52,48,0,0,50,0,17,0,26,22
42101027200,1908,1078,212,206,150,130,124,32,287,10,305,0,0,830,239,227,134,134,128,89,194,0,89,0,0,46
42101027300,2131,1357,139,85,187,64,109,72,318,46,604,15,0,774,340,340,136,113,178,71,93,1,27,0,0,0
42101027401,1134,747,203,203,162,59,107,8,115,0,160,0,0,387,204,204,84,84,82,0,9,0,0,0,8,0
42101027402,2181,1547,403,375,180,158,296,113,445,0,223,0,0,634,86,86,287,244,92,0,15,0,83,0,59,12
42101027500,1634,1098,179,158,210,146,149,32,231,49,320,9,9,536,237,237,133,100,51,26,30,0,45,0,0,40
42101027600,1477,709,128,128,122,78,78,39,155,7,169,13,57,768,403,375,150,138,28,1,98,19,89,0,0,0
42101027700,2043,980,197,134,130,102,193,64,211,51,167,9,82,1063,568,324,260,196,65,41,107,0,41,0,13,9
42101027800,1974,901,140,103,199,152,68,0,220,31,263,0,11,1073,510,415,231,131,77,8,151,0,77,0,19,8
42101027901,1375,907,227,189,155,74,317,134,70,0,138,0,0,468,271,173,68,68,25,9,32,11,25,0,0,47
42101027902,942,439,127,116,100,16,101,21,52,0,59,0,0,503,212,196,163,133,70,55,39,24,7,0,12,0
42101028000,1653,845,275,259,260,147,157,39,78,18,75,0,0,808,403,324,172,136,104,33,38,4,69,0,16,6
42101028100,1306,928,157,80,204,66,229,79,143,0,186,0,9,378,163,139,69,49,85,40,25,0,0,0,26,10
42101028200,1996,945,209,123,200,135,158,58,152,0,210,0,16,1051,410,372,287,144,153,126,114,0,34,0,50,3
42101028300,2262,804,168,131,160,53,139,18,175,20,162,12,0,1458,817,765,177,120,178,21,116,0,35,0,14,121
42101028400,1271,786,174,135,176,107,136,57,177,0,105,0,18,485,343,323,76,69,18,0,18,0,19,0,0,11
42101028500,876,338,68,68,93,14,30,17,82,17,65,0,0,538,261,216,138,99,59,20,48,25,32,0,0,0
42101028600,2212,993,121,77,199,143,256,114,293,0,124,0,0,1219,478,478,304,304,149,58,54,18,34,0,110,90
42101028700,818,367,84,84,98,68,52,20,43,0,90,0,0,451,230,224,43,30,17,0,47,0,47,0,47,20
42101028800,1216,536,110,79,142,69,68,22,40,0,146,0,30,680,221,221,91,91,191,124,82,0,52,0,37,6
42101028901,1206,759,172,162,147,142,153,85,124,0,157,0,6,447,190,190,139,139,40,24,63,0,15,0,0,0
42101028902,1869,1020,237,223,214,97,202,106,201,0,156,0,10,849,211,211,198,198,106,95,104,0,131,0,0,99
42101029000,2015,1101,258,246,236,168,187,59,242,14,178,0,0,914,272,272,166,138,205,34,164,0,71,0,0,36
42101029100,1361,442,62,49,143,52,90,26,49,0,89,0,9,919,314,265,222,152,113,40,89,0,26,0,108,47
42101029200,1229,883,122,122,180,72,223,123,145,37,213,10,0,346,58,58,96,80,42,42,72,0,33,0,0,45
42101029300,985,529,186,151,136,85,84,20,51,0,65,0,7,456,188,154,73,42,44,12,32,0,47,0,72,0
42101029400,1056,519,248,180,143,16,34,0,32,0,51,0,11,537,257,257,213,123,0,0,0,0,0,0,45,22
42101029800,1739,958,162,124,263,179,98,31,221,11,214,0,0,781,377,377,197,168,97,23,47,0,43,0,20,0
42101029900,1578,663,226,117,89,41,47,9,135,0,85,0,81,915,487,409,162,115,96,7,69,0,43,0,38,20
42101030000,2549,1106,200,147,328,129,105,37,274,0,151,0,48,1443,661,533,257,207,228,46,125,23,89,0,43,40
42101030100,1897,843,80,70,171,95,152,111,182,57,258,6,0,1054,290,253,300,265,193,63,108,0,78,0,78,7
42101030200,2328,1408,135,104,393,257,310,78,183,12,387,21,0,920,318,288,248,208,112,55,89,34,86,0,54,13
42101030501,1877,1066,285,254,155,111,156,33,245,14,212,0,13,811,231,231,195,184,140,52,142,0,25,0,78,0
42101030502,2055,1358,306,216,175,108,214,132,244,53,397,0,22,697,323,323,103,103,75,27,114,0,46,0,21,15
42101030600,2752,1318,108,79,203,172,144,50,318,100,458,57,87,1434,463,463,421,403,327,51,109,0,83,0,0,31
42101030700,1491,523,45,38,84,66,69,19,98,55,221,0,6,968,343,333,130,130,175,76,245,0,43,0,31,1
42101030800,1652,1175,118,104,220,131,198,120,271,118,350,8,18,477,95,95,78,18,64,41,173,16,47,0,12,8
42101030900,1329,690,169,160,86,37,100,63,208,36,115,0,12,639,159,159,178,145,143,36,60,0,56,0,0,43
42101031000,2188,1465,184,184,227,147,231,124,312,114,502,55,9,723,165,131,104,104,9,0,223,30,119,0,43,60
42101031101,1640,719,118,118,110,61,144,79,166,9,181,0,0,921,113,112,449,440,143,83,36,0,85,0,66,29
42101031102,1520,1110,181,164,158,127,346,226,305,0,113,0,7,410,129,129,128,95,121,39,11,0,7,0,0,14
42101031200,1576,927,280,280,112,82,104,51,182,14,221,0,28,649,319,294,141,141,95,49,25,0,35,0,27,7
42101031300,2030,897,184,148,101,30,107,28,147,9,326,0,32,1133,318,318,306,293,176,115,134,0,90,0,62,47
42101031401,2124,1149,97,97,281,166,213,94,213,0,325,28,20,975,215,215,263,263,169,74,87,0,184,0,38,19
42101031402,1824,1030,167,127,291,160,197,41,238,6,124,0,13,794,211,211,151,125,107,96,188,62,40,0,24,73
42101031501,2082,1492,220,170,256,123,167,34,360,87,412,0,77,590,213,213,68,53,134,22,31,0,76,0,0,68
42101031502,1382,891,117,108,104,35,157,35,219,55,294,0,0,491,143,143,167,104,65,24,57,0,51,0,0,8
42101031600,2130,1426,131,94,484,333,222,108,200,23,389,0,0,704,139,139,254,234,70,60,103,0,35,0,11,92
42101031700,2227,1303,138,103,221,175,241,128,379,60,314,0,10,924,151,151,302,302,76,0,178,33,153,0,0,64
42101031800,1479,864,175,131,263,167,67,8,176,7,183,4,0,615,144,144,189,170,158,68,109,0,7,0,8,0
42101031900,1565,895,146,103,129,28,104,66,299,10,194,0,23,670,201,192,143,114,129,17,84,0,54,0,44,15
42101032000,2435,1886,341,341,326,183,340,115,479,21,384,0,16,549,182,167,130,130,140,74,31,0,52,0,14,0
42101032100,1382,744,149,75,139,37,157,54,124,42,175,0,0,638,248,248,129,102,95,47,70,0,75,0,21,0
42101032300,1350,699,86,86,155,101,163,43,158,32,131,0,6,651,208,176,170,160,114,65,111,15,0,0,48,0
42101032500,2125,1195,292,255,288,208,189,77,193,0,233,8,0,930,310,310,268,114,234,52,40,7,17,0,38,23
42101032600,2305,1696,227,164,231,110,228,85,360,82,530,0,120,609,188,188,85,85,29,0,98,0,67,0,73,69
42101032900,1484,723,38,20,98,49,173,78,161,26,239,5,14,761,347,321,109,109,88,63,136,0,24,0,28,29
42101033000,2649,1733,366,271,354,234,266,81,286,16,461,0,0,916,227,227,183,113,278,78,77,0,107,0,0,44
42101033101,1748,1407,67,67,196,80,167,94,404,28,551,23,22,341,63,50,58,58,90,0,53,0,59,0,0,18
42101033102,1620,1042,137,109,127,62,169,44,277,9,332,0,0,578,211,194,166,144,53,7,42,0,81,0,0,25
42101033200,899,693,58,46,55,17,105,47,161,74,309,4,5,206,71,71,40,30,25,19,12,0,52,0,0,6
42101033300,1774,1016,102,102,175,19,137,53,198,49,392,11,12,758,311,272,191,183,67,24,101,0,30,0,43,15
42101033400,1897,1060,142,107,227,135,136,68,263,75,292,25,0,837,197,176,107,53,109,22,169,23,132,0,89,34
42101033500,1343,812,122,83,143,87,50,16,177,51,310,0,10,531,178,178,62,62,0,0,159,12,92,0,0,40
42101033600,2758,1366,105,93,134,54,208,109,265,133,654,65,0,1392,288,255,215,177,379,75,121,0,253,0,112,24
42101033701,2030,786,113,91,150,88,94,54,287,63,142,0,0,1244,560,358,265,265,196,135,14,0,135,0,23,51
42101033702,1924,1455,113,105,103,26,194,73,171,66,865,46,9,469,155,155,64,47,40,0,64,0,115,0,14,17
42101033800,2336,1459,223,223,126,30,282,216,246,125,566,80,16,877,129,111,332,287,192,38,125,55,41,0,10,48
42101033900,1198,741,80,80,125,57,109,46,91,56,329,26,7,457,117,96,69,60,159,21,102,7,10,0,0,0
42101034000,1024,882,66,46,97,81,186,92,167,51,366,24,0,142,45,45,10,10,6,6,53,0,28,0,0,0
42101034100,2318,1466,130,111,164,17,137,97,403,177,632,10,0,852,253,232,229,229,98,21,167,0,105,0,0,0
42101034200,1515,755,48,48,85,52,137,84,94,34,385,21,6,760,181,181,126,126,211,126,153,32,60,0,0,29
42101034400,2623,2263,150,133,347,190,207,54,266,119,1293,141,0,360,84,84,44,33,58,16,16,0,50,0,0,108
42101034501,1855,268,20,17,65,19,60,9,96,0,27,0,0,1587,612,462,314,291,285,50,158,0,142,0,51,25
42101034502,2256,967,165,165,234,125,138,58,113,19,317,0,0,1289,205,179,309,239,425,288,223,20,106,0,21,0
42101034600,1224,333,66,56,14,14,22,12,80,9,151,26,0,891,280,252,242,225,154,42,139,11,76,0,0,0
42101034701,2367,1790,221,221,185,76,188,124,375,80,812,0,9,577,84,84,148,148,127,13,68,0,25,0,97,28
42101034702,1437,1241,122,122,131,10,112,44,293,111,583,43,0,196,32,32,12,12,21,0,119,22,12,0,0,0
42101034801,1847,886,113,105,209,127,165,56,171,26,228,20,0,961,222,214,150,59,202,45,178,0,174,0,0,35
42101034802,2124,965,144,130,110,10,99,45,182,48,414,0,16,1159,417,377,220,220,141,48,84,0,88,0,46,163
42101034803,1639,1163,99,87,257,120,82,20,235,55,490,12,0,476,59,59,41,41,136,51,83,9,103,0,21,33
42101034900,2030,1160,204,204,154,124,190,64,273,74,339,0,0,870,327,315,159,130,213,104,60,0,91,0,9,11
42101035100,2095,1332,165,153,245,144,207,42,294,0,406,17,15,763,86,86,120,120,136,123,219,0,172,0,0,30
42101035200,1578,1242,132,117,133,47,124,65,171,45,665,35,17,336,60,60,93,73,49,34,67,0,62,0,0,5
42101035301,1996,1557,151,125,134,31,139,73,319,117,782,18,32,439,38,38,28,28,126,34,126,8,50,0,0,71
42101035302,1879,1059,135,118,115,53,136,40,202,60,447,16,24,820,204,204,152,152,52,24,190,0,153,0,45,24
42101035500,2950,1881,218,162,252,135,222,99,316,176,828,26,45,1069,330,258,119,106,146,12,189,0,115,0,124,46
42101035601,2453,1717,247,247,232,73,200,111,300,53,725,43,13,736,195,181,142,128,151,130,102,0,16,0,93,37
42101035602,1203,954,88,79,168,99,51,5,129,41,509,36,9,249,22,22,38,38,48,7,25,0,91,0,25,0
42101035701,1880,548,54,54,104,57,55,41,206,30,129,18,0,1332,483,447,291,265,185,28,204,0,132,0,30,7
42101035702,1644,558,69,56,106,26,85,25,96,27,202,23,0,1086,332,323,268,216,219,147,130,0,97,0,0,40
42101035800,2246,1805,180,180,265,183,324,149,172,59,831,88,33,441,132,121,30,30,76,13,32,0,137,0,34,0
42101035900,2127,1359,76,64,114,57,222,83,243,97,704,60,0,768,492,321,79,51,42,0,93,12,49,0,0,13
42101036000,1124,709,45,38,50,43,62,17,218,45,334,40,0,415,221,153,90,33,29,12,31,0,36,0,0,8
42101036100,1370,993,52,52,123,30,191,94,214,81,413,15,0,377,27,27,33,33,73,16,95,28,87,0,62,0
42101036201,1928,1322,82,49,126,64,174,31,436,86,492,0,12,606,60,60,110,110,211,151,164,41,49,0,0,12
42101036202,2285,1877,38,38,325,265,330,145,302,128,867,29,15,408,77,58,15,15,196,96,45,0,20,0,55,0
42101036203,1843,1625,157,149,219,102,160,72,353,119,730,36,6,218,11,11,84,84,38,38,4,0,0,0,24,57
42101036301,1298,1027,39,39,124,83,168,70,295,120,384,13,17,271,68,68,29,29,35,8,60,24,45,0,0,34
42101036302,1159,877,79,71,155,77,149,73,151,41,343,0,0,282,43,43,128,120,57,50,36,0,18,0,0,0
42101036303,2336,2121,182,155,187,74,390,224,575,114,787,41,0,215,21,21,45,45,128,94,21,0,0,0,0,0
42101036400,117,117,4,4,16,6,18,5,17,8,57,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
42101036501,2253,1126,159,142,127,99,81,26,140,81,619,61,0,1127,357,357,303,256,161,66,75,15,200,0,0,31
42101036502,1396,1239,99,99,158,100,86,34,239,93,638,56,19,157,10,10,27,17,7,0,14,0,80,0,0,19
42101036600,919,571,0,0,44,17,7,0,102,57,411,26,7,348,8,8,8,8,54,54,69,62,200,7,0,9
42101036700,1343,681,60,53,58,41,45,39,83,28,435,43,0,662,22,14,66,66,73,44,187,89,312,16,0,2
42101036900,500,5,5,0,0,0,0,0,0,0,0,0,0,495,53,53,37,37,16,16,90,75,196,41,98,5
42101037200,1687,1362,206,129,240,94,134,8,357,52,425,25,0,325,59,59,17,17,48,0,44,9,46,0,21,90
42101037300,2287,1414,39,39,191,118,223,103,224,97,737,47,0,873,141,141,132,132,182,118,122,32,220,0,0,76
42101037500,1494,726,48,43,49,42,24,17,148,66,454,97,3,768,124,102,79,79,85,60,89,53,254,0,135,2
42101037600,1109,271,9,9,36,9,51,0,52,20,123,19,0,838,252,171,120,60,39,23,173,83,163,15,57,34
42101037700,1051,296,29,12,31,0,98,0,16,0,111,0,11,755,385,288,82,37,70,12,88,7,58,0,23,49
42101037800,962,633,116,88,56,13,135,80,93,30,182,0,51,329,125,125,26,21,7,0,95,21,57,0,0,19
42101037900,1974,1422,211,128,299,146,211,52,220,3,481,0,0,552,238,202,84,84,0,0,77,0,78,0,0,75
42101038000,806,522,86,59,52,39,81,46,143,16,156,0,4,284,113,102,36,36,29,10,63,0,37,0,0,6
42101038100,314,146,59,59,38,15,16,5,12,0,21,0,0,168,52,52,31,21,15,4,35,0,0,0,20,15
42101038200,911,557,223,144,50,9,63,12,106,0,86,0,29,354,132,127,112,106,73,39,10,0,16,0,11,0
42101038300,974,514,183,155,107,51,73,13,100,0,38,0,13,460,173,173,101,68,36,23,44,0,0,0,68,38
42101038400,957,774,73,58,38,23,67,19,102,35,489,52,5,183,42,42,28,28,33,33,48,0,26,0,6,0
42101038500,847,512,26,26,25,15,12,0,48,24,396,43,5,335,70,66,88,78,22,22,45,31,102,0,8,0
42101038600,596,415,0,0,5,5,27,27,51,27,320,23,12,181,34,34,62,62,15,10,15,6,49,13,0,6
42101038700,677,565,42,42,31,31,44,28,59,21,389,13,0,112,4,4,7,7,14,14,12,0,61,0,0,14
42101038800,1789,1252,52,52,87,69,130,86,204,71,779,33,0,537,205,205,76,66,90,48,67,3,78,11,14,7
42101038900,1239,717,66,58,179,86,82,36,134,25,240,15,16,522,201,176,96,50,97,9,83,10,26,0,0,19
42101039000,2573,1432,269,269,313,239,177,128,361,33,261,0,51,1141,554,488,177,100,91,17,164,0,64,0,43,48
42101980000,76,37,4,4,4,4,0,0,0,0,29,5,0,39,4,4,0,0,0,0,31,4,4,0,0,0
42101980100,39,30,0,0,0,0,3,0,14,0,13,0,0,9,0,0,0,0,0,0,4,0,5,0,0,0
42101980200,37,37,0,0,7,4,3,3,3,0,24,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101980300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101980400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101980500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101980600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101980700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101980800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42101980900,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0
42101989100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
