GEOID,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD06,HD01_VD07,HD01_VD10,HD01_VD11,HD01_VD14,HD01_VD15,HD01_VD18,HD01_VD19,HD01_VD22,HD01_VD23,HD01_VD24,HD01_VD25,HD01_VD28,HD01_VD29,HD01_VD32,HD01_VD33,HD01_VD36,HD01_VD37,HD01_VD40,HD01_VD41,HD01_VD44,HD01_VD45,HD01_VD46
42101008400,1723,974,268,217,237,86,140,17,209,0,93,0,27,749,313,283,174,167,48,24,65,0,63,0,32,54
42101008500,2454,1181,308,231,177,56,282,48,211,0,203,0,0,1273,326,300,355,235,161,58,116,6,109,0,109,97
42101008601,1377,422,98,80,33,24,11,11,44,26,236,25,0,955,270,201,244,161,140,37,115,35,150,1,36,0
42101008602,1101,209,69,69,29,0,0,0,0,0,111,0,0,892,314,137,139,45,125,107,110,0,91,0,82,31
42101008701,1939,284,27,14,39,39,35,35,39,19,144,27,0,1655,405,391,253,186,199,96,304,45,205,51,267,22
42101008702,1315,169,0,0,0,0,0,0,12,0,157,34,0,1146,260,236,222,183,150,33,109,22,113,0,292,0
42101008801,154,0,0,0,0,0,0,0,0,0,0,0,0,154,72,72,31,3,0,0,11,0,17,0,18,5
42101008802,1351,77,0,0,21,21,17,17,8,0,31,0,0,1274,419,402,234,187,28,23,113,21,31,0,437,12
42101009000,1031,83,8,8,19,0,15,8,9,9,32,0,0,948,265,265,181,175,55,25,79,12,47,13,321,0
42101009100,1331,257,6,6,48,48,107,16,20,7,76,7,0,1074,551,405,156,109,73,17,110,9,53,0,110,21
42101009200,1202,334,77,61,43,27,54,13,106,32,54,0,0,868,416,320,100,38,137,32,56,0,57,0,94,8
42101009300,1609,812,249,163,135,42,93,29,203,10,121,0,11,797,398,380,130,114,97,22,111,0,0,0,53,8
42101009400,1812,546,172,117,120,9,54,0,60,0,84,0,56,1266,734,546,198,152,141,24,58,0,22,0,65,48
42101009500,1335,792,361,320,97,42,152,40,83,0,54,0,45,543,276,268,116,45,0,0,101,0,0,0,10,40
42101009600,1622,758,272,136,119,41,92,9,150,0,109,0,16,864,351,324,179,179,109,0,46,30,76,0,55,48
42101009801,938,475,68,66,74,27,107,53,80,6,141,0,5,463,116,116,106,95,91,84,67,6,35,0,34,14
42101009802,2013,1561,162,162,329,271,202,109,386,21,482,0,0,452,71,71,31,31,45,45,130,36,83,0,92,0
42101010000,1667,984,149,140,170,126,147,85,235,65,186,0,97,683,251,251,167,146,92,44,103,0,31,0,29,10
42101010100,2186,1260,376,236,204,37,211,64,210,0,214,0,45,926,379,291,263,146,38,0,121,0,67,0,18,40
42101010200,1238,573,321,291,115,36,5,0,28,0,77,0,27,665,376,332,103,67,13,0,46,12,0,0,19,108
42101010300,889,365,88,61,118,12,32,6,37,0,90,0,0,524,207,190,151,124,27,0,44,0,51,0,0,44
42101010400,1192,529,200,131,151,32,91,36,18,0,69,0,0,663,196,164,65,46,89,0,153,10,86,0,68,6
42101010500,1469,453,107,87,103,34,84,21,52,0,92,7,15,1016,533,259,204,128,78,48,106,0,5,0,59,31
42101010600,507,159,65,47,25,5,27,0,17,0,0,0,25,348,235,213,25,8,35,9,10,0,19,0,14,10
42101010700,1198,373,128,69,54,0,75,15,74,0,8,0,34,825,383,373,197,159,58,20,64,19,12,0,103,8
42101010800,1450,515,214,147,121,36,39,21,90,0,30,0,21,935,527,474,171,159,62,9,71,0,0,0,78,26
42101010900,753,201,37,37,7,0,41,0,25,0,85,10,6,552,219,117,125,63,50,25,17,3,11,3,85,45
42101011000,1363,407,124,97,53,13,59,15,48,0,80,0,43,956,532,480,201,167,53,21,49,0,75,0,23,23
42101011100,1334,613,256,172,90,32,92,8,92,0,63,0,20,721,350,317,160,111,45,6,34,0,30,0,102,0
42101011200,2006,1306,410,321,265,116,154,24,228,29,164,0,85,700,360,297,155,85,40,9,50,0,15,0,0,80
42101011300,1113,726,150,131,183,24,152,9,95,0,114,0,32,387,114,114,48,32,39,7,80,0,0,0,25,81
42101011400,2795,1663,246,172,244,204,236,100,340,0,530,31,67,1132,630,536,19,0,221,68,168,0,30,0,0,64
